First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Institute of Physiology, University of Fribourg, Fribourg, Switzerland E-mail: jean-pierre.montani@unifr.ch","Antic, Vladan",unifr,10.1016/S0895-7061(98)00231-3,https://doi.org/10.1016/S0895-7061(98)00231-3,http://doc.rero.ch/record/294444/files/12_8_826.pdf,"Serial changes in cardiovascular and renal function of rabbits ingesting a high-fat, high-calorie diet",,"Antic, Vladan;Tempini, Aldo;Montani, Jean-Pierre",1999,American Journal of Hypertension,"Institute of Physiology, University of Fribourg, Fribourg, Switzerland E-mail: jean-pierre.montani@unifr.ch;Institute of Physiology, University of Fribourg, Fribourg, Switzerland E-mail: jean-pierre.montani@unifr.ch;Institute of Physiology, University of Fribourg, Fribourg, Switzerland E-mail: jean-pierre.montani@unifr.ch E-mail: jean-pierre.montani@unifr.ch",Oxford University Press,,12,8,826,829,0895-7061,1941-7225,copyright,"© 1999 by the American Journal of Hypertension, Ltd.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S0895706198002313,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706198002313&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706198002313&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706198002313&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland","Spirk, D.",unifr,10.1093/qjmed/hcs144,https://doi.org/10.1093/qjmed/hcs144,http://doc.rero.ch/record/290957/files/hcs144.pdf,Use of biomarkers or echocardiography in pulmonary embolism: the Swiss Venous Thromboembolism Registry,,"Spirk, D.;Willenberg, T.;Aujesky, D.;Husmann, M.;Hayoz, D.;Baldi, T.;Brugger, A.;Amann-Vesti, B.;Baumgartner, I.;Kucher, N.",2012,QJM: An International Journal of Medicine,"From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland;From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland;From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland;From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland;From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland;From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland;From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland;From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland;From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland;From the Medical Department, Sanofi-Aventis (Suisse) SA, Meyrin 1217, Switzerland, Academic Section of Vascular Surgery, Department of Surgery and Cancer, Imperial College School of Medicine, Charing Cross Hospital, London W6 8RF, UK, Division of General Internal Medicine, University Hospital, Bern 3010, Clinic of Angiology, University Hospital, Zurich 8091, Department of Internal Medicine, Cantonal Hospital, Fribourg 1708, Department of Internal Medicine, University Hospital, Basel 4031 and Division of Vascular Medicine, Swiss Cardiovascular Center, University Hospital, Bern 3010, Switzerland E-mail: nils.kucher@insel.ch",Oxford University Press,,105,12,1163,1169,1460-2725,1460-2393,copyright,"© The Author 2012. Published by Oxford University Press on behalf of the Association of Physicians. All rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093qjmedhcs144,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093qjmedhcs144&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093qjmedhcs144&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093qjmedhcs144&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Medicine, University of Fribourg, Fribourg, Switzerland; and Department of Biology, Institute of Microbiology, ETHZ, Zurich, Switzerland","Pittet, Martine",unifr,10.1093/glycob/cwj043,https://doi.org/10.1093/glycob/cwj043,http://doc.rero.ch/record/296879/files/cwj043.pdf,The N-glycosylation defect of cwh8Δ yeast cells causes a distinct defect in sphingolipid biosynthesis,,"Pittet, Martine;Uldry, Danièle;Aebi, Markus;Conzelmann, Andreas",2006,Glycobiology,"Department of Medicine, University of Fribourg, Fribourg, Switzerland; and Department of Biology, Institute of Microbiology, ETHZ, Zurich, Switzerland;Department of Medicine, University of Fribourg, Fribourg, Switzerland; and Department of Biology, Institute of Microbiology, ETHZ, Zurich, Switzerland;Department of Biology, Institute of Microbiology, ETHZ, Zurich, Switzerland;Department of Medicine, University of Fribourg, Fribourg, Switzerland; and Department of Biology, Institute of Microbiology, ETHZ, Zurich, Switzerland E-mail: andreas.conzelmann@unifr.ch",Oxford University Press,,16,2,155,164,0959-6658,1460-2423,copyright,"© The Author 2005. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093glycobcwj043,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycobcwj043&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycobcwj043&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093glycobcwj043&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg E-mail: vidya.ravi@unifr.ch,"Ravi, Vidya",unifr,10.1093/isle/isv039,https://doi.org/10.1093/isle/isv039,http://doc.rero.ch/record/296780/files/isv039.pdf,The Myth of Emptiness and the New American Literature of Place,,"Ravi, Vidya",2015,Interdisciplinary Studies in Literature and Environment,University of Fribourg E-mail: vidya.ravi@unifr.ch,Oxford University Press,2018-06-01,22,2,423,425,1076-0962,1759-1090,copyright,"© The Author(s) 2015. Published by Oxford University Press on behalf of the Association for the Study of Literature and Environment. All rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093isleisv039,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093isleisv039&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093isleisv039&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093isleisv039&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Contemporary History, University of Fribourg, Switzerland","Besson, Yves",unifr,10.1093/jrs/10.3.335,https://doi.org/10.1093/jrs/10.3.335,http://doc.rero.ch/record/293104/files/10-3-335.pdf,UNRWA and its Role in Lebanon,,"Besson, Yves",1997,Journal of Refugee Studies,"Department of Contemporary History, University of Fribourg, Switzerland",Oxford University Press,,10,3,335,348,0951-6328,1471-6925,copyright,© Oxford University Press,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jrs103335,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jrs103335&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jrs103335&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jrs103335&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de mathématiques, Université de Fribourg 1700 Fribourg, Switzerland","Milasevic, Philip",unifr,10.1093/biomet/74.1.212,https://doi.org/10.1093/biomet/74.1.212,http://doc.rero.ch/record/291870/files/74-1-212.pdf,Spatial median and directional data,,"Ducharme, Gilles R.;Milasevic, Philip",1987,Biometrika,"Département de mathématiques et de statistique, Université de Montréal Montréal, P.Q. H3C 3J7;Institut de mathématiques, Université de Fribourg 1700 Fribourg, Switzerland",Oxford University Press,,74,1,212,215,0006-3444,1464-3510,copyright,/ 1987 Biometrika Trust,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093biomet741212,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093biomet741212&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093biomet741212&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093biomet741212&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland","Grandjean, Mélanie",unifr,10.1093/nar/gkr436,https://doi.org/10.1093/nar/gkr436,http://doc.rero.ch/record/295851/files/gkr436.pdf,High-level transgene expression by homologous recombination-mediated gene transfer,,"Grandjean, Mélanie;Girod, Pierre-Alain;Calabrese, David;Kostyrko, Kaja;Wicht, Marianne;Yerly, Florence;Mazza, Christian;Beckmann, Jacques S.;Martinet, Danielle;Mermod, Nicolas",2011,Nucleic Acids Research,"Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland;Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland;Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland;Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland;Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland;Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland;Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland;Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland;Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland;Laboratory of Molecular Biotechnology, Center for Biotechnology UNIL-EPFL, University of Lausanne, Service of Medical Genetics, Center Hospitalier Universitaire Vaudois (CHUV), 1015 Lausanne and Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland E-mail: nicolas.mermod@unil.ch",Oxford University Press,,39,15,e104,e104,0305-1048,1362-4962,creative-commons,"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/3.0), which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093nargkr436,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nargkr436&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nargkr436&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093nargkr436&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Claudio Bacciagaluppi graduated in musicology in Zurich and completed his D.Phil. in Fribourg, Switzerland, with Luca Zoppelli. He is research assistant at Fribourg University and works for the Swiss RISM office. His research fields are 18th-century Neapolitan sacred music and the circulation of music prints in the Alpine region in the 17th century. Recent papers appeared in Studi musicali (2009) and, with Janice B. Stockigt, in Fonti musicali italiane (2010). With Luigi Collarile he edited the thematic catalogue of Carlo Donato Cossoni, 1623–1700 (Berne, 2009). His dissertation was published in 2010 with the title ‘Rom, Prag, Dresden: Pergolesi und die Neapolitanische Messe in Europa’. E-mail: claudio.bacciagaluppi@unifr.ch","Bacciagaluppi, Claudio",unifr,10.1093/em/car102,https://doi.org/10.1093/em/car102,http://doc.rero.ch/record/304799/files/car102.pdf,More on Vivaldi in Switzerland,,"Bacciagaluppi, Claudio",2011,Early Music,"Claudio Bacciagaluppi graduated in musicology in Zurich and completed his D.Phil. in Fribourg, Switzerland, with Luca Zoppelli. He is research assistant at Fribourg University and works for the Swiss RISM office. His research fields are 18th-century Neapolitan sacred music and the circulation of music prints in the Alpine region in the 17th century. Recent papers appeared in Studi musicali (2009) and, with Janice B. Stockigt, in Fonti musicali italiane (2010). With Luigi Collarile he edited the thematic catalogue of Carlo Donato Cossoni, 1623–1700 (Berne, 2009). His dissertation was published in 2010 with the title ‘Rom, Prag, Dresden: Pergolesi und die Neapolitanische Messe in Europa’. E-mail: claudio.bacciagaluppi@unifr.ch",Oxford University Press,,39,4,597,604,0306-1078,1741-7260,copyright,"Early Music, Vol. XXXIX, No. 4 © The Author 2011. Published by Oxford University Press. All rights reserved.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093emcar102,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093emcar102&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093emcar102&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093emcar102&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Psychology, University of Fribourg, Rue de Faucigny 2, CH-1700 Fribourg, Switzerland","Sonderegger, A.",unifr,10.1093/iwc/iws002,https://doi.org/10.1093/iwc/iws002,http://doc.rero.ch/record/291952/files/iws002.pdf,Effects of Perceived Prototype Fidelity in Usability Testing under Different Conditions of Observer Presence,,"Uebelbacher, A.;Sonderegger, A.;Sauer, J.",2013,Interacting with Computers,"Department of Psychology, University of Fribourg, Rue de Faucigny 2, CH-1700 Fribourg, Switzerland;Department of Psychology, University of Fribourg, Rue de Faucigny 2, CH-1700 Fribourg, Switzerland",Oxford University Press,,25,1,91,101,0953-5438,1873-7951,copyright,"© The Author 2013. Published by Oxford University Press on behalf of The British Computer Society. All rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093iwciws002,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093iwciws002&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093iwciws002&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093iwciws002&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg E-mail: siegfried.weichlein@unifr.ch,"Weichlein, Siegfried",unifr,10.1093/gerhis/ght020,https://doi.org/10.1093/gerhis/ght020,http://doc.rero.ch/record/298798/files/ght020.pdf,"Is There a Continuity in Modern German History? If Yes, How Many?",,"Weichlein, Siegfried",2013,German History,University of Fribourg E-mail: siegfried.weichlein@unifr.ch,Oxford University Press,,31,2,239,244,0266-3554,1477-089X,copyright,© The Author 2013. Published by Oxford University Press on behalf of the German History Society. All rights reserved.,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093gerhisght020,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093gerhisght020&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093gerhisght020&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093gerhisght020&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
